,RA,DEC,z,xVal,yVal,zVal
19817,150.4838,69.182731,0.022903,-21.249295033609847,12.030205236231547,64.2235805880422
11426,119.03103700000001,14.939454999999999,0.040838,-57.444384148663545,103.50014937070566,31.583888393014373
11260,6.326208,-10.622483,0.0566,165.87390143097122,18.389451221755365,-31.300429834606305
1088,169.33223700000002,17.516527,0.04607,-129.5233193380525,24.398216189866968,41.59856841774001
14526,1.42055,-10.217941999999999,0.038402,113.34399950095255,2.810744865287992,-20.43672983699505
22456,170.379173,56.469661,0.050577,-82.63413712982887,14.00741680944605,126.48196715791182
10397,140.96273300000001,20.354968,0.056739,-123.95775111138846,100.51257463998124,59.207477295095636
9455,197.93821499999999,48.259963,0.026434,-50.229029327898395,-16.26053903974818,59.17302330381597
24809,186.44341,0.677855,0.04017,-119.74037960534665,-13.522905791769803,1.4256966417866523
25921,121.342575,32.016693,0.037816,-50.034560712729416,82.15481123637893,60.14630852345921
28152,202.536669,-2.607377,0.020878999999999998,-57.79379494544005,-23.98231900193125,-2.8494578596699283
23697,179.499744,-3.4022050000000004,0.040756,-122.04785598293115,1.0656408599147142,-7.255968820728159
4868,10.807018,13.690419,0.058328,166.99718715642487,31.87761705335141,41.41445724432316
15178,207.95997,56.869829,0.047606,-68.94510189693575,-36.596996963157245,119.60022517411832
27320,246.68762200000003,47.803403,0.057698,-46.01044860295256,-106.77156639763547,128.2357362997943
7550,135.349018,58.015526,0.044231,-50.0015872925126,49.39609748954227,112.54909626484293
16500,152.056016,3.2521139999999997,0.039044,-103.30849126228739,54.80061101399029,6.644854370354167
21777,222.755521,-1.602848,0.059647000000000006,-131.33729020696128,-121.43041416344032,-5.005217096969663
16707,161.137544,17.330693,0.036788,-99.69586183671639,34.060554033153714,32.87592261198117
2201,222.677902,24.462670000000003,0.054241,-108.89102039318543,-100.40401061101035,67.3836408926899
25861,126.23985400000001,24.04374,0.042143,-68.25573715490496,93.12365654814472,51.51146452532398
26077,119.75491399999999,43.052928,0.041837,-45.51674123758527,79.62192835046606,85.68305499842982
3666,221.692414,15.813782000000002,0.041011,-88.3948439637404,-78.73594153772522,33.52793103956615
21461,195.227273,37.887309,0.043616,-99.6423037788344,-27.123152629074024,80.35511802683412
21625,185.34794,41.187264,0.038076,-85.58937890818362,-8.01212209434227,75.22167308466841
22700,152.41993300000001,50.877866999999995,0.058573,-98.27514710242569,51.33347941697865,136.32327869422454
4725,206.77459,41.563361,0.04156,-83.28653174023736,-42.024703436573915,82.71868187870527
25882,128.007077,29.195290000000004,0.046744,-75.37948844233841,96.45678553991694,68.40347264194882
24751,197.127319,2.702359,0.047045,-134.72605365772455,-41.51747425181959,6.6541733194606545
21104,182.02523200000002,22.445339999999998,0.048699,-134.944958987587,-4.771882455263224,55.780109274468174
8751,196.421478,36.529893,0.020096,-46.46807342253946,-13.695227817165055,35.885955908034965
27882,200.949532,64.902773,0.033402999999999995,-39.694498186167436,-15.197187544051143,90.74820100420331
7603,136.480793,58.678066,0.046767,-52.8883022477519,50.22283106697922,119.85351611850238
14628,228.73726000000002,44.268287,0.044501,-63.048596594183465,-71.86090635872696,93.18763659309204
18243,223.61652400000003,19.014426999999998,0.046297000000000005,-95.06679189099889,-90.58317709903768,45.251552318101595
